Date,Title,Status,Attendance,Attendance source
2013-10-26T10:30Z,"Little Kelham Hack",Past,16,EventBright
2014-04-30T08:00Z,"Meet w. Emma dickens nhs",CONFIRMED,0,
2014-05-02T13:30Z,"Catering meet with Ellie @164",CONFIRMED,0,
2014-05-06T16:30Z,"Skills Network",CONFIRMED,0,
2014-05-07T16:30Z,"Skills Network",CONFIRMED,0,
2014-05-08T16:30Z,"Skills Network",CONFIRMED,0,
2014-05-09T00:00Z,"Cycling Starts Here Data-Design-Development",CONFIRMED,0,
2014-05-14T17:00Z,"mHealth Habitat Show & Tell",CONFIRMED,0,
2014-05-20T17:30Z,"Leeds dev ops",CONFIRMED,0,
2014-05-21T00:00Z,"Open Data in a Day - Training",CONFIRMED,0,
2014-05-21T09:00Z,"Open Data in a Day by The ODI, @ODI-Leeds",Past,11,EventBright
2014-06-03T00:00Z,"Leeds Gov Jam",CONFIRMED,0,
2014-06-05T15:30Z,"Nhs healthcare event 4-6",CONFIRMED,0,
2014-06-07T09:00Z,"Nhs healthcare youth forum event",CONFIRMED,0,
2014-06-13T16:00Z,"Official opening ceremony",CONFIRMED,29,https://www.flickr.com/photos/125166571@N05/14550567535/
2014-07-02T00:00Z,"Business Festival",CONFIRMED,0,
2014-07-03T00:00Z,"Health in Numbers",CONFIRMED,0,
2014-07-09T13:00Z,"WY CA Metro ICT Services Team",CONFIRMED,0,
2014-07-12T00:00Z,"Comply14",CONFIRMED,0,
2014-07-14T11:00Z,"LCC meeting",CONFIRMED,0,
2014-07-16T18:00Z,"mHealth show & tell",CONFIRMED,0,
2014-07-21T11:00Z,"mHealth lunch",CONFIRMED,0,
2014-07-22T16:00Z,"Institute of Asset Management",CONFIRMED,0,
2014-07-23T14:00Z,"Community Healthcare",CONFIRMED,0,
2014-07-27T23:00Z,"DCLG Discovery Days- land registry",CONFIRMED,0,
2014-08-14T14:00Z,"Community healthcare",CONFIRMED,0,
2014-09-08T11:30Z,"Catch up with edafe",CONFIRMED,0,
2014-09-09T09:00Z,"LCC meetings",CONFIRMED,0,
