Date,Visits,Hits,Files,Pages,Total kB files
2016-08,359,2892,2082,812,50719
2016-07,2400,26276,17686,5940,432139
2016-06,150,23614,7303,2594,127938
2016-05,0,0,0,0,0
2016-04,0,0,0,0,0
2016-03,0,0,0,0,0
2016-02,0,0,0,0,0
2016-01,0,0,0,0,0
2015-12,0,0,0,0,0
2015-11,0,0,0,0,0
2015-10,0,0,0,0,0
2015-09,0,0,0,0,0
2015-08,0,0,0,0,0
2015-07,0,0,0,0,0
2015-06,0,0,0,0,0
2015-05,0,0,0,0,0
2015-04,0,0,0,0,0
2015-03,0,0,0,0,0
2015-02,0,0,0,0,0
2015-01,0,0,0,0,0
2014-12,0,0,0,0,0
2014-11,0,0,0,0,0
2014-10,0,0,0,0,0
2014-09,0,0,0,0,0
2014-08,0,0,0,0,0
2014-07,0,0,0,0,0
2014-06,0,0,0,0,0
2014-05,0,0,0,0,0
2014-04,0,0,0,0,0
2014-03,0,0,0,0,0
2014-02,0,0,0,0,0
2014-01,0,0,0,0,0
2013-12,0,0,0,0,0
2013-11,0,0,0,0,0
2013-10,0,0,0,0,0
2013-09,0,0,0,0,0
2013-08,0,0,0,0,0
2013-07,0,0,0,0,0
2013-06,0,0,0,0,0
2013-05,0,0,0,0,0
2013-04,0,0,0,0,0
2013-03,0,0,0,0,0
2013-02,0,0,0,0,0
2013-01,0,0,0,0,0
2012-12,0,0,0,0,0
2012-11,0,0,0,0,0
2012-10,0,0,0,0,0
2012-09,0,0,0,0,0
2012-08,0,0,0,0,0
2012-07,0,0,0,0,0
2012-06,0,0,0,0,0
2012-05,0,0,0,0,0
2012-04,0,0,0,0,0
2012-03,0,0,0,0,0
2012-02,0,0,0,0,0
2012-01,0,0,0,0,0
2011-12,0,0,0,0,0
2011-11,0,0,0,0,0
2011-10,0,0,0,0,0
2011-09,0,0,0,0,0
2011-08,0,0,0,0,0
2011-07,0,0,0,0,0
2011-06,0,0,0,0,0
2011-05,0,0,0,0,0
2011-04,0,0,0,0,0
2011-03,0,0,0,0,0
2011-02,0,0,0,0,0
2011-01,0,0,0,0,0
2010-12,0,0,0,0,0
2010-11,0,0,0,0,0
2010-10,0,0,0,0,0
2010-09,0,0,0,0,0
2010-08,0,0,0,0,0
2010-07,0,0,0,0,0
2010-06,0,0,0,0,0
2010-05,0,0,0,0,0
2010-04,0,0,0,0,0
2010-03,0,0,0,0,0
2010-02,0,0,0,0,0
2010-01,0,0,0,0,0
2009-12,0,0,0,0,0
2009-11,0,0,0,0,0
2009-10,0,0,0,0,0
2009-09,0,0,0,0,0
2009-08,0,0,0,0,0
2009-07,0,0,0,0,0
2009-06,0,0,0,0,0
2009-05,0,0,0,0,0
2009-04,0,0,0,0,0
2009-03,0,0,0,0,0
2009-02,0,0,0,0,0
2009-01,0,0,0,0,0
2008-12,0,0,0,0,0
2008-11,0,0,0,0,0
2008-10,0,0,0,0,0
2008-09,0,0,0,0,0
2008-08,0,0,0,0,0
2008-07,0,0,0,0,0
2008-06,0,0,0,0,0
2008-05,0,0,0,0,0
2008-04,0,0,0,0,0
2008-03,0,0,0,0,0
2008-02,0,0,0,0,0
2008-01,0,0,0,0,0
2007-12,0,0,0,0,0
2007-11,0,0,0,0,0
2007-10,0,0,0,0,0
2007-09,0,0,0,0,0
2007-08,0,0,0,0,0
2007-07,0,0,0,0,0
2007-06,0,0,0,0,0
2007-05,0,0,0,0,0
2007-04,0,0,0,0,0
2007-03,0,0,0,0,0
2007-02,0,0,0,0,0
2007-01,0,0,0,0,0
2006-12,0,0,0,0,0
2006-11,0,0,0,0,0
2006-10,0,0,0,0,0
2006-09,0,0,0,0,0
