Date,Visits,Hits,Files,Pages,Total kB files
2021-09,3390,18718,,670,416812
2021-08,4546,10303,,827,212801
2021-07,4485,11081,,1035,179056
2021-06,4442,9243,,773,165291
2021-05,4648,9532,,779,266654
2021-04,4521,9099,,800,253777
2021-03,4615,9133,,517,180075
2021-02,3954,7928,,510,162841
2021-01,3232,7469,,492,165027
2020-12,3556,8287,,732,182098
2020-11,4070,10008,,741,238270
2020-10,2866,8622,,762,367797
2020-09,3046,7094,,606,167480
2020-08,3118,6901,,543,127771
2020-07,3141,7709,,813,108624
2020-06,4891,7634,,724,283113
2020-05,5031,8903,,1241,266743
2020-04,5201,8415,,709,239590
2020-03,5076,8262,,980,189943
2020-02,4911,7946,,1135,182510
2020-01,5365,8821,,1259,286499
2019-12,5390,9326,,1116,297803
2019-11,5727,13695,,1432,415687
2019-10,6447,9508,,714,268272
2019-09,5762,8847,,632,427029
2019-08,6289,9954,,871,538481
2019-07,6963,10991,,1118,528857
2019-06,6651,11068,,1035,328008
2019-05,7115,11087,,1099,700405
2019-04,1525,2603,,272,219065
2019-03,4703,8269,,786,533883
2019-02,4518,11866,,2152,1726176
2019-01,4666,8595,,2403,496987
2018-12,4281,7783,,553,1070037
2018-11,115,276,,38,24225
2018-10,51,96,,25,2635
2018-09,43,47,,0,218
2018-08,48,52,,0,254
2018-07,12,18,,0,83
